float_id,latitude,longitude,observation_time,depth,temperature,salinity
ARGO_BOB_001,14.0,85.0,2026-08-15,0.0,29.14,34.338
ARGO_BOB_001,14.0,85.0,2026-08-15,50.0,28.716,34.375
ARGO_BOB_001,14.0,85.0,2026-08-15,100.0,28.283,34.414
ARGO_BOB_001,14.0,85.0,2026-08-15,150.0,27.84,34.455
ARGO_BOB_001,14.0,85.0,2026-08-15,200.0,27.385,34.498
ARGO_BOB_001,14.0,85.0,2026-08-15,250.0,26.919,34.543
ARGO_BOB_001,14.0,85.0,2026-08-15,300.0,26.441,34.589
ARGO_BOB_001,14.0,85.0,2026-08-15,400.0,25.448,34.685
ARGO_BOB_001,14.0,85.0,2026-08-15,500.0,24.41,34.784
ARGO_BOB_001,14.0,85.0,2026-08-15,600.0,23.334,34.884
ARGO_BOB_001,14.0,85.0,2026-08-15,700.0,22.229,34.984
ARGO_BOB_001,14.0,85.0,2026-08-15,750.0,21.668,35.034
ARGO_BOB_001,14.0,85.0,2026-08-15,850.0,20.534,35.133
ARGO_BOB_001,14.0,85.0,2026-08-15,1000.0,18.803,35.283
ARGO_BOB_002,16.0,87.5,2026-08-16,0.0,28.913,34.286
ARGO_BOB_002,16.0,87.5,2026-08-16,50.0,28.489,34.323
ARGO_BOB_002,16.0,87.5,2026-08-16,100.0,28.056,34.362
ARGO_BOB_002,16.0,87.5,2026-08-16,150.0,27.612,34.403
ARGO_BOB_002,16.0,87.5,2026-08-16,200.0,27.158,34.446
ARGO_BOB_002,16.0,87.5,2026-08-16,250.0,26.692,34.491
ARGO_BOB_002,16.0,87.5,2026-08-16,300.0,26.213,34.537
ARGO_BOB_002,16.0,87.5,2026-08-16,400.0,25.22,34.633
ARGO_BOB_002,16.0,87.5,2026-08-16,500.0,24.182,34.732
ARGO_BOB_002,16.0,87.5,2026-08-16,600.0,23.106,34.832
ARGO_BOB_002,16.0,87.5,2026-08-16,700.0,22.001,34.932
ARGO_BOB_002,16.0,87.5,2026-08-16,750.0,21.441,34.982
ARGO_BOB_002,16.0,87.5,2026-08-16,850.0,20.307,35.081
ARGO_BOB_002,16.0,87.5,2026-08-16,1000.0,18.576,35.232
